"Not confirmed","Not confirmed"
Confirmed,Confirmed
Today,Today
Tomorrow,Tomorrow
"In %1 days","In %1 days"
Live,Live
Test,Test
Off,Off
"Always show deliveryoptions","Always show delivery options"
"Only for products that are in stock","Only for products that are in stock"
"There are no available options","There are no available options"
label,label
"No cut-off time","No cut-off time"
"A4 Format","A4 Format"
"A6 Format","A6 Format"
"No Address data found.","No Address data found."
"Invalid GetDeliveryDate response: %1","Invalid GetDeliveryDate response: %1"
"Invalid GetTimeframes response: %1","Invalid GetTimeframes response: %1"
"Invalid GetLocationsResult response: %1","Invalid GetLocationsResult response: %1"
"No Type specified","No Type specified"
ok,ok
"Unable to extract the house number, because the street data could not be found","Unable to extract the house number, because the street data could not be found"
"Unable to extract the house number, could not find a number inside the street value","Unable to extract the house number, could not find a number inside the street value"
"Invalid house number supplied: %1","Invalid house number supplied: %1"
"Unable to retrieve barcode data.","Unable to retrieve barcode data."
"Invalid barcodetype requested: %s","Invalid barcodetype requested: %s"
"Missing required parameters: %1","Missing required parameters: %1"
"Object with id ""%1"" does not exist.","Object with id ""%1"" does not exist."
"Invalid GenerateBarcode response: %1","Invalid GenerateBarcode response: %1"
"Table %1 does not exists","Table %1 does not exists"
"Failed on soap call : %1","Failed on soap call : %1"
"SOAP extension is not loaded.","SOAP extension is not loaded."
Legend,Legend
"Shipping method","Shipping method"
Disabled,Disabled
"Test Mode","Test Mode"
"Live Mode","Live Mode"
"Magento &amp; 3rd party version compatibility","Magento &amp; 3rd party version compatibility"
"Magento Community Edition version","Magento Community Edition version"
"Magento Enterprise Edition version","Magento Enterprise Edition version"
"PostNL version","PostNL version"
Support,Support
"This extension is developed by Total Internet Group (<a href=""https://tig.nl"" target=""_blank"">TIG</a>) commissioned by PostNL.","This extension is developed by Total Internet Group (<a href=""https://tig.nl"" target=""_blank"">TIG</a>) commissioned by PostNL."
"Extension basic configuration and account information","Extension basic configuration and account information"
"For questions related to your PostNL account and PostNL delivery options, please contact PostNL.","For questions related to your PostNL account and PostNL delivery options, please contact PostNL."
Phone:,Phone:
Website:,Website:
https://www.postnl.nl/zakelijke-oplossingen/webwinkels/bezorgopties-voor-mijn-klanten/,https://www.postnl.nl/zakelijke-oplossingen/webwinkels/bezorgopties-voor-mijn-klanten/
www.postnl.com,www.postnl.com
"Extension support and advanced configuration","Extension support and advanced configuration"
"For questions about installing and configuring the extension please consult the relevant documentation:","For questions about installing and configuring the extension please consult the relevant documentation:"
"Frequently asked questions:","Frequently asked questions:"
FAQ,FAQ
"Support by email:","Support by email:"
Documentation,Documentation
"A list of documents regarding the extension.","A list of documents regarding the extension."
"View the user manual. Currently the manual is only available in Dutch.","View the user manual. Currently the manual is only available in Dutch."
"User manual","User manual"
"View the complete release notes of the extension. Currently the release notes is only available in Dutch.","View the complete release notes of the extension. Currently the release notes is only available in Dutch."
"Full Release Notes","Full Release Notes"
"Shipping Address","Shipping Address"
"Senders address","Senders address"
PostNL,PostNL
Enabled,Enabled
"Method Name","Method Name"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Sort Order","Sort Order"
Title,Title
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"General configuration and account information","General configuration and account information"
"Extension status","Extension status"
Modus,Modus
"Customer number live mode","Customer number live mode"
"Customer code live mode","Customer code live mode"
"Api Key live mode","Api Key live mode"
"Api Key test mode","Api Key test mode"
"BLS location code live mode","BLS location code live mode"
"Customer number test mode","Customer number test mode"
"Customer code test mode","Customer code test mode"
"BLS location code test mode","BLS location code test mode"
Shipping address,Shipping address
First name,First name
Last name,Last name
Company,Company
Street name,Street name
Department,Department
"House number","House number"
"House number addition","House number addition"
Postcode,Postcode
City,City
Product options,Product options
"Select the available options","Select the available options"
"Default shipping option","Default shipping option"
"Evening delivery the Netherlands","Evening delivery the Netherlands"
"Default post office delivery option","Default post office delivery option"
"Default sunday delivery option","Default sunday delivery option"
Shipping options,Shipping options
"Activate delivery settings","Activate delivery settings"
Stock options,Stock options
"Activate delivery days","Activate delivery days"
"Maximum number of delivery days","Maximum number of delivery days"
"Activate post office locations","Activate post office locations"
"Activate post office locations Belgium","Activate post office locations Belgium"
"Activate evening delivery","Activate evening delivery"
"Evening delivery fee","Evening delivery fee"
"Activate sunday delivery","Activate sunday delivery"
"Sunday delivery fee","Sunday delivery fee"
"Send track and trace info","Send track and trace info"
"Version & Support","Version & Support"
Webshop,Webshop
"Printer Settings","Printer Settings"
"Label size","Label size"
"Shipping Settings","Shipping Settings"
"Cutoff time","Cutoff time"
"Shipment days","Shipment days"
"PostNL - Create shipments","PostNL - Create shipments"
"PostNL - Create shipments, print labels &amp; confirm","PostNL - Create shipments, print labels &amp; confirm"
"PostNL - Create shipments, print packing slip &amp; confirm","PostNL - Create shipments, print packing slip &amp; confirm"
"PostNL - Print shipping labels & confirm shipment","PostNL - Print shipping labels & confirm shipment"
"Confirm Status","Confirm Status"
"Shipping Date","Shipping Date"
Pickup,Pickup
Delivery,Delivery
from,from
Daytime,Daytime
Evening,Evening
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Sunday,Sunday
Domestic,Domestic
"Extra@Home","Extra@Home"
"Post office","Post office"
Extension version,Extension version
"For an A4 example, <a href=""%1"" target=""_blank"">click here</a>.","For an A4 example, <a href=""%1"" target=""_blank"">click here</a>."
"For an A6 example, <a href=""%1"" target=""_blank"">click here</a>.","For an A6 example, <a href=""%1"" target=""_blank"">click here</a>."
"Export CSV","Export CSV"
"An error occurred while importing the table rates.","An error occurred while importing the table rates."
"File has not been imported. See the following list of errors: %1","File has not been imported. See the following list of errors: %1"
"Invalid PostNL Table Rates File Format","Invalid PostNL Table Rates File Format"
"Invalid PostNL Table Rates File Format in Row #%1","Invalid PostNL Table Rates File Format in Row #%1"
"Row #%1 is a dupplicate of row #%2","Row #%1 is a duplicate of row #%2"
"Invalid Shipping Price ""%1"" supplied in row #%2","Invalid Shipping Price ""%1"" supplied in row #%2"
"Rate Type","Rate Type"
Flat,Flat
Table,Table
Matrix,Matrix
Condition,Condition
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Weight vs. Destination","Weight vs. Destination"
"Price vs. Destination","Price vs. Destination"
"# of Items vs. Destination","# of Items vs. Destination"
Fixed,Fixed
Percent,Percent
"You can import and export rates on the website scope. You can change your current scope with the dropdown at the top left of this page.","You can import and export rates on the website scope. You can change your current scope with the dropdown at the top left of this page."
"Export Table Rates","Export Table Rates"
"Import Table Rates","Import Table Rates"
"Export Matrix Rates","Export Matrix Rates"
"Import Matrix Rates","Import Matrix Rates"
"Post Office Address:","Post Office Address:"
"Test Mode","Test Mode"
"Live Mode","Live Mode"
"From 9:00","From 9:00"
"From 15:00","From 15:00"
"PostNL - Confirm And Print Shipment Label","PostNL - Confirm And Print Shipment Label"
"Send Shipment Email","Send Shipment Email"
"PostNL - Cancel Confirmation","PostNL - Cancel Confirmation"
"Are you sure that you wish to reset the confirmation status of this shipment? You will need to confirm this shipment with PostNL again before you can send it. This action will remove all barcodes and labels associated with this shipment. You can not undo this action.","Are you sure that you wish to reset the confirmation status of this shipment? You will need to confirm this shipment with PostNL again before you can send it. This action will remove all barcodes and labels associated with this shipment. You can not undo this action."
"PostNL - Print label","PostNL - Print label"
"PostNL - Generate Label","PostNL - Generate Label"
"Post office delivery","Post office delivery"
"Post office delivery Belgium","Post office delivery Belgium"
"In order to use this extension you need to be a contract customer of PostNL. If you are not a customer of PostNL, you can <a href=""%1"" target=""_blank"" title=""register at PostNL"">register yourself here</a>.","In order to use this extension you need to be a contract customer of PostNL. If you are not a customer of PostNL, you can <a href=""%1"" target=""_blank"" title=""register at PostNL"">register yourself here</a>."
"You will then receive all necessary information in order to configure the extension. If you cannot find the email containing this information, please contact PostNL support at 088-2255651.","You will then receive all necessary information in order to configure the extension. If you cannot find the email containing this information, please contact PostNL support at 088-2255651."
"If you want to test the extension, but do not have any test mode credentials you can use the account credentials found <a href=""%1"" target=""_blank"">here</a>.","If you want to test the extension, but do not have any test mode credentials you can use the account credentials found <a href=""%1"" target=""_blank"">here</a>."
"If you are unsure which options to select, ask your PostNL accountmanager. Read more about <a href=""https://confluence.tig.nl/display/SDPOSTNL/Kies+uw+PostNL+Productopties"" target=""_blank"" title=""product options"">PostNL product options</a>.","If you are unsure which options to select, ask your PostNL accountmanager. Read more about <a href=""https://confluence.tig.nl/display/SDPOSTNL/Kies+uw+PostNL+Productopties"" target=""_blank"" title=""product options"">PostNL product options</a>."
"Select the PostNL product that you want to use for your shipments.","Select the PostNL product that you want to use for your shipments."
"Select the default product option for domestic shipments.","Select the default product option for domestic shipments."
"Select the default product option for evening delivery shipments.","Select the default product option for evening delivery shipments."
"Select the default product option for postoffice delivery shipments.","Select the default product option for postoffice delivery shipments."
"Select the default product option for postoffice delivery shipments in Belgium.","Select the default product option for postoffice delivery shipments in Belgium."
"Select the default product option for sunday delivery shipments.","Select the default product option for sunday delivery shipments."
"Select for which products PostNL delivery options should be available.","Select for which products PostNL delivery options should be available."
"Delivery days allow customers to choose on which date they want their order delivered.","Delivery days allow customers to choose on which date they want their order delivered."
"Submit how many days in the future after the first delivery moment your customers can choose to receive their orders.","Submit how many days in the future after the first delivery moment your customers can choose to receive their orders."
"Whether or not customers may choose to have their order delivered to a nearby post office.","Whether or not customers may choose to have their order delivered to a nearby post office."
"Whether or not customers may choose to have their order delivered to a nearby post office in Belgium.","Whether or not customers may choose to have their order delivered to a nearby post office in Belgium."
